z_form,pdf
0.36569344588228914,0.08050044911041451
0.4050407536059719,0.08224763419911052
0.4443880613296547,0.08400619796700556
0.48373536905333747,0.0857750827838002
0.5230826767770203,0.08755319701480384
0.562429984500703,0.08933941606542907
0.6017772922243858,0.09113258351216047
0.6411245999480686,0.09293151231887607
0.6804719076717514,0.0947349861371343
0.7198192153954341,0.09654176068877483
0.7591665231191169,0.09835056522891784
0.7985138308427997,0.10016010408718422
0.8378611385664826,0.10196905828470011
0.8772084462901654,0.103776087224194
0.9165557540138481,0.10557983045024395
0.9559030617375309,0.10737890947648858
0.9952503694612137,0.10917192967637682
1.0345976771848964,0.11095748223380276
1.0739449849085791,0.11273414614975007
1.113292292632262,0.11450049030085942
1.1526396003559447,0.11625507554563247
1.1919869080796275,0.11799645687379476
1.2313342158033103,0.11972318559416632
1.270681523526993,0.12143381155622213
1.310028831250676,0.12312688540037622
1.3493761389743588,0.124800960831889
1.3887234466980416,0.126454596913175
1.4280707544217244,0.12808636036918697
1.4674180621454072,0.12969482790046294
1.50676536986909,0.13127858849835153
1.5461126775927727,0.13283624575688
1.5854599853164555,0.13436642017568942
1.6248072930401383,0.13586775144844654
1.664154600763821,0.1373389007311405
1.7035019084875038,0.1387785528846897
1.7428492162111866,0.14018541868632214
1.7821965239348694,0.14155823700424494
1.8215438316585522,0.14289577693019306
1.860891139382235,0.14419683986453596
1.9002384471059177,0.14546026154872932
1.9395857548296005,0.14668491404002557
1.9789330625532833,0.14786970762349677
2.0182803702769663,0.14901359265658407
2.0576276780006486,0.15011556134156134
2.096974985724332,0.15117464942149145
2.136322293448014,0.15218993779545686
2.1756696011716974,0.1531605540490662
2.2150169088953797,0.15408567389646893
2.254364216619063,0.15496452253035467
2.2937115243427457,0.155796375876669
2.3330588320664285,0.15658056175104332
2.3724061397901113,0.15731646091421175
2.411753447513794,0.1580035080239718
2.451100755237477,0.1586411924815367
2.4904480629611596,0.1592290591704255
2.5297953706848424,0.15976670908633897
2.569142678408525,0.16025379985677715
2.608489986132208,0.16069004614946475
2.6478372938558907,0.1610752199689613
2.6871846015795735,0.1614091508411469
2.7265319093032563,0.16169172588558697
2.765879217026939,0.1619228897760884
2.805226524750622,0.16210264459006982
2.8445738324743046,0.16223104954767206
2.8839211401979874,0.1623082206418345
2.92326844792167,0.16233433016085688
2.962615755645353,0.16230960610525327
3.0019630633690357,0.16223433150098385
3.0413103710927185,0.16210884361141933
3.0806576788164013,0.1619335330506547
3.120004986540084,0.1617088428010387
3.159352294263767,0.16143526713802198
3.1986996019874496,0.16111335046565628
3.2380469097111324,0.16074368606628778
3.277394217434815,0.1603269147681902
3.316741525158498,0.1598637235350663
3.3560888328821807,0.15935484398152253
3.3954361406058635,0.1588010508187721
3.4347834483295463,0.15820316023496925
3.474130756053229,0.15756202821469797
3.513478063776912,0.1568785488022512
3.5528253715005946,0.15615365231342831
3.5921726792242774,0.15538830350065774
3.63151998694796,0.15458349967630983
3.670867294671643,0.153740268799114
3.7102146023953257,0.15285966752861904
